name;address;postalcode;city;website;contact_person;contact_person_email;phone_number;description;looking_for
Savaco;Beneluxpark 19;8500;Kortrijk;www.savaco.com;Arne Vanroose;;56260361;"Savaco is een lokale IT-topspeler met een gezonde groeiambitie die toonaangevende bedrijven in Vlaanderen begeleidt in hun digitale transformatie. En dit gaat breed: van het opzetten van netwerken en systemen tot het beveiligen van de IT-infrastructuur. Maar daarnaast bouwen we ook PLM-, CAD- en MS-applicaties en doen we aan IOT en Data Engineering.
Elke dag bouwen we als een sterk team van 180+ bekwame en enthousiaste medewerkers aan onze stevige en kwaliteitsvolle reputatie die op 30 jaar expertise is gefundeerd.

Wat maakt ons zo sterk?

Kwaliteitsgericht werken dragen we in het hoogste vaandel. We willen impact cre‰ren bij onze klanten door hen op een excellente manier te gidsen langs de digitale horizon. We gaan elke ambitieuze technologie-uitdaging aan en slaan nieuwe digitale wegen in.

Tegelijkertijd zorgen wij voor een warme, familiale omgeving waar collega?s elkaar kennen en respecteren. Elke Savaco medewerker kan ook rekenen op persoonlijke aandacht als medewerker ‚n als mens. We stippelen een groeiplan uit dat in staat stelt grenzen te verleggen maar zonder persoonlijke ambitie of work-life balance uit het oog te verliezen.";Bachelor / Master Industriewetenschappen / ICT / Informatica / Elektronica / Elektromechanica / NMCT
oXya Benelux NV;President Kennedypark 3a;8500;Kortrijk;http://www.oXya.com;Martine De Koninck ( administratie)   Martin Van Den Abeele  ( ivm stagemarkt) ;;056 23 43 10;Oxya (http://www.oxya.com/) verzorgt voor hun klanten het technische beheer van SAP datacenters, gaande van hardware en netwerkinfrastructuur tot en met de applicatiesoftware. Omdat de beschikbaarheid van hun data voor deze klanten natuurlijk van het grootste belang is, zorgt monitor-software voor de werking van de datacenters, zodat eventuele  problemen tijdig gedetecteerd en hersteld kunnen worden, liefst nog voordat de klant er iets van gemerkt heeft. Om deze monitoring effici‰nter te kunnen doen, wil Oxya beroep doen op Data Mining technieken, zodat problemen automatisch gedetecteerd en voorspeld kunnen worden. In deze stage pas je verschillende Data Mining algoritmes toe op de logdata van Oxya.  Samen met de software analysten kan je kennis maken en je verdiepen in het opkomende domein van data science, je kan er kennis maken met de werking van grote, state-of-the-art data centers.  Oxya is immers een bedrijf met zowel een aantal grote internationale,  als Vlaamse klanten (bv. Carrefour, HUBO, Sodexo, Elia, Decathlon, ArcelorMittal, ?).;Good experience in Linux ( or open Source software) servers Good experience in Windows servers Interested in landing a job as a data scientist and working in a state-of-the-art IT technology environment. Have a clear, logical mind with a practical approach to problem solving and a drive to see things through to completion
AGO Jobs & HR;Wolvenstraat 23;8500;Kortrijk;www.ago.jobs;Kristof Desmedt;;32476810753;"AGO Jobs & HR is an HR services company. With its dedicated team of authentic and optimistic people it stays close to the customer and focuses on valuable & sustaining relationships.
AGO Jobs & HR is een dynamisch Belgisch familiebedrijf gebaseerd in Kortrijk en de vijfde speler op de uitzendmarkt. Wij hebben een inhouse IT afdeling waar we al onze systemen en platformen voor het uitzendwerk zelf ontwikkelen met de nodige ambitie voor groei en blik op de digitale toekomst.";PROJECTBESCHRIJVING - AGO Jobs & HR werkt momenteel aan een innovatief HR-platform op basis van microservices waarmee de optimale matches tussen uitzendkrachten en klanten kunnen gevonden worden. Daarnaast zullen ook concurrerende HR-kantoren (tegen betaling) en hun klanten gebruik kunnen maken van het platform, waardoor een nieuw ecosysteem binnen de markt gecre‰erd zal worden. Artifici‰le intelligentie and machine learning zijn hier even ontontbeerlijk als flitsende designs en top user-interfaces. Kortom, heel wat verschillende profielen kunnen hierop worden ingezet.
Damatec BV;Nieuwpoortstraat 11;8500;Kortrijk;Www.damatec.be;Lies verbauwhede;;499364157;Damatec is gespecialiseerd in MES - software, business flow automatisatie en business intelligence binnen de maakindustrie. Wij helpen onze klanten hun productieprocessen effici‰nt ient en real-time te stroomlijnen en automatiseren. Damatec is een dynamische Kortrijkse onderneming, gekenmerkt door een hands - on aanpak, een grote mate van flexibiliteit zowel in product, dienstverlening als werking en zeer toegankelijk met een lichtrijk, modern kantoor in het centrum van Kortrijk. ;"- Front end developer
- .Net developer"
ILVO;Ankerstraat 1;8400;Oostende;https://ilvo.vlaanderen.be;Wim Allegaert;;059 56 98 62 ;Het Instituut voor Landbouw-, Visserij- en Voedingsonderzoek (ILVO) is een onafhankelijk wetenschappelijk onderzoeksinstituut van de Vlaamse overheid. Het krijgt van die overheid de opdracht mee te werken aan de verduurzaming van de landbouw, visserij en agrovoedingssector. De afdeling Visserij en aquatische productie van ILVO verzamelt informatie over visbestanden en hun plaats in het ecosysteem. ILVO ondersteunt en adviseert ook de visserijsector in hun streven naar duurzaam vissen. ;"Voor het beheer en de verwerking van de visserij gerelateerde business data worden diverse software tools door het software team in huis ontwikkeld. Het multidisciplinair wetenschappelijk onderzoek vereist een brede waaier aan vernieuwende software oplossingen. Voorbeelden van toepassingen die de voorbije jaren werden ge‹mplementeerd zijn: web en windows data management toepassingen, beeldanalyse toepassingen (machine learning, neural networks & deep learning), geografisch informatiesystemen, application programming interfaces, big data management, rapporterings tools, ...

ILVO is op zoek naar een student toegepaste informatica met een brede interesse. Een persoon die geen koudwatervrees heeft voor nieuwe technologi‰n maar integendeel, enthousiast en zelfstandig, de mogelijkheden van nieuwe domeinen wil verkennen. 
Tijdens de stage zal er een proof of concept worden ontwikkeld waarbij de stagiair instaat voor de realisatie van het volledige software proces: analyse, ontwikkelen, testen & documenteren. Hij kan hierbij rekenen op een uitgebreide begeleiding van het IT-team. "
Limecraft;Sint-Salvatorstraat 18b 301;9000;Gent;https://www.limecraft.com;Maarten Verwaest;;93301323;Limecraft is actief in de audioviduele sector. Het is een online platform voor creatieve professionals, waarmee ze videomateriaal opslaan, uitwisselen en distribueren. Ons bereik gaat van individuele vloggers en podcasters, tot de grootste producers wereldwijd. Onze ambitie is om op termijn de grootste backbone te worden van AV productie.;We zoeken technische profielen (software ontwikkeling, systeembeheer, testbeheer) en commerci‰le profielen (opzetten van geautomatiseerde marketing, beheer van de online sales processen).
ML6;Esplanade Oscar Van De Voorde 1;9000;Gent;https://www.ml6.eu/;Kaat Van Doren;;04 76 284 124;"We work on ML projects to make a positive impact.

Our mission is to boost progress with people, technology and innovation. The creative, diverse and exceptional teams of ML6 make a positive impact for our clients and the tech community by providing cutting-edge and high quality services in a trustworthy and responsible way.

We are a team of purpose-driven data & machine learning experts who have been driving value creation and operational efficiency through self-learning systems since 2013.
";"*Profielen*
ML engineers, data engineers, software engineer
Solutions engineers, customer engineers
Information Management

*Projecten*
Smart mirror
Transfer learning in time series
Library app
Intelligent Illustrator
Drone imagery
Email clustering
And any project you want to challenge"
Digital up ;Baron Ruzettelaan1, bus 0.3;8310;Brugge;www.digitalup.be;Steven Sanders;;3250396862;Digital Up is een Brugs marketingbureau dat zich voornamelijk specialiseert in de online kant van het marketingverhaal. Struggle je met alles wat digitaal en online is? Doe dan een beroep op Digital Up. Zij tillen jouw bedrijf naar een hoger digitaal niveau. Zij toveren jouw website om tot een dynamisch digitaal platform, verbonden met alle sociale media. Je ontvangt digitaal marketingadvies op maat dankzij de in-house knowhow. Van website tot Facebookpagina. Van eenvoudig onderhoud tot het volledige beheer. Van content tot video. Hun ervaren experten, gedreven marketeers en digital natives hebben vast en zeker een oplossing voor jouw (digitale) probleem.;Wil jij bedrijven helpen met voor hun een digitale oplossing te bieden. Je denkt mee aan de ideale oplossing voor onze klanten. Of het nu gaat van een eenvoudige webpagina tot een uitgebreide applicatie op maat. Voor elk budget van de klant ga je opzoek naar de ideale digitale oplossing. Je designt custom & template websites voor de klanten. Databases, webdevelopment en/of app development heeft geen geheimen voor je. 
Brug-IT VZW;Nijverheidsstraat 7;8310;Brugge;https://brugit.be;Sabrina Poelvoorde;;50683038;"ls IT-bedrijven uit Noord-West-Vlaanderen bundelen we met Brug-IT onze krachten.
Het doel? Onze regio op de IT-kaart zetten!
Samen kunnen we grotere projecten realiseren en zijn we een toegankelijk aanspreekpunt om bedrijven te ondersteunen op IT-vlak. Bovendien organiseren we ook evenementen, vormen we een informatieplatform en gaan we uitdagende IT-vraagstukken aan.";We bieden verschillende projecten van onze leden aan.
Studio Emma;Ten Briele 10, bus 8;8200;Sint-Michiels;www.studioemma.com;Liesa Vandenbussche;;+32 (0) 51 61 00 20;"Hi! Wij zijn Studio Emma. Based in Brugge & Kortrijk!

Een full stack web agency dat volop inzet op de online ambities van haar klanten. Wil je starten met een E-commerce website of je webshop verder uitbouwen? Wil je je data op een effici‰ntere manier gaan beheren of gewoon een nieuwe wending geven aan je online verhaal? Studio Emma will get you there!

Met ondertussen 30 collega's (gaande van Project Managers tot Designers tot Developers) maken we klanten zoals Fun, Roularta Media Group, Tom&Co, Zelfbouwmarkt, Aeromoov... gelukkig. Kortom: als het gaat om het digitaliseren van je business ben je bij Studio Emma in goede handen.

Studio Emma in een handvol seconden? Check it out: https://vimeo.com/295343599

Maar ook als stagiair of werknemer ben je in goede handen! We zijn namelijk op zoek naar nieuwe collega's om ons team te versterken. Een stageplek is daarvoor de beste sollicitatie: niet enkel voor ons maar zeker ook voor jou. We maken er sowieso een boeiende stageplek van, daar kun je op rekenen!

Groetjes, Liesa (HR/Marketing Verantwoordelijke @ Studio Emma)
";Onze core business zijn Magento- en Pimcore projecten, maar misschien wordt jouw stage een uitdagend intern project. In overleg met je ambities maken we er een boeiende en leuke stage van!
ConXioN;Hoogstraat 134;8540;Deerlijk;https://www.conxion.be/newhome/;Tamara Clabau;;+32 56 73 11 21;"ConXioN is een IT-bedrijf van 100 werknemers met partnerships zoals Microsoft, HP, Cisco e.a. We zijn een ambitieuze IT-partner waar innovatie, kwaliteit en groei centraal staan. We bieden IT-diensten aan bedrijven zowel op vlak van infrastructuur als modern workplace-oplossingen.
Gezien onze groei zoeken wij gemotiveerde stagiairs om ons team te versterken. 
Wat vinden wij belangrijk? Werkplezier, teamsfeer, kwaliteit en innovatie!
Heb jij interesse om deel uit te maken van een collegiaal, dynamisch en vooruitstrevend IT-bedrijf met opleidingsmogelijkheden, een fitness en een gunstige work-life balans in Deerlijk? Maak vrijblijvend kennis tijdens een speeddate! 
";"ConXioN bestaat uit de volgende teams:

- Service Desk
- System Engineers
- Managed Services & Security
- Business Consultancy
- Projectmanagement
- Customer Success & Sales
- Marketing
- HR

Wij focussen op de volgende zaken:
- Cloud
- Services
- Security
- Connectivity
- Mobility
- Applications (M365)
- Experience"
kmo-software;Roterijstraat 71;8790;Waregem;www.kmo-software.be;Jelle De Bruyne;;0471 70 57 84;kmo-software is een jong, dynamisch en innovatief bedrijf dat allerhande softwareoplossingen biedt voor kmo?s;"Wat als je als stagiair meteen ervaring kan opdoen die de rest van je carriŠre zal vormen? 
Ben jij:

CREATIEF ?                          INNOVATIEF ?                       AMBITIEUS  ?

Werk dan met ons mee aan de verdere groei van ons jong bedrijf. 
Gelegen op de rand van Waregem, bieden wij een toffe stageplaats in een familiale sfeer, met leuke collega?s en de kans op een vast contract.
We ontwikkelen software, aan de hand van de  nieuwste technologie‰n, om zo performante en visueel aantrekkelijke oplossingen aan te bieden aan KMO?s.

desktop-, web- & mobile apps
C#, Xamarin, Angular, WPF, .net, .net core, azure, visual studio, git"
Intracto NV;Zwijnaardsesteenweg 312 / 0401;9000;Gent;www.intracto.com;Emely Keereman;;479757140;"Intracto is a digital agency that offers powerful digital solutions: measurable, well thought-out and technical superior.

The multidisciplinary project teams possess all the design, development, strategic and e-marketing skills that increase the revenue of its clients. Sharing knowledge with clients and communities, Intracto strongly believes in using and contributing to open-source software.";"We zijn continu op zoek naar talent dat samen met ons wil groeien op een van onze campussen in Belgi‰ en Nederland. Zin in een technische stage waar je ‚cht iets aan hebt? Op weg naar een bloeiende carriŠre als developer, projectmanager of digitaal strateeg bijvoorbeeld? Dan ben je bij Intracto aan het juiste adres. 

Even voorstellen: Intracto is een allround digital agency dat maatwerk aflevert voor klanten als Brussels Airport, Volvo & Hypotheek.winkel. Niet alleen op vlak van marketing, communicatie en strategie maar ook op een hoog technisch niveau.

! Werk mee aan echte projecten
Bij Intracto geloven we in evolueren, verbeteren en een hands-on aanpak. Daarom zal een stage bij ons je meenemen in ‚chte projecten waarbij je opdracht bestaan uit het analyseren, ontwikkelen en opleveren van specifieke maatwerkmodules en -features.

Aan het einde van je stage wandel je buiten met een waaier aan competenties die je goed van pas zullen komen, zoals: 
- analyseren & meedenken op zoek naar mogelijke oplossingen;
- klantcommunicatie & meelopen in meetings;
- effectief development, rekening houdend met specifieke interne guidelines;
- werken met project-tools zoals JIRA;
- gebruik van MySQL, GIT, Bamboo, diverse API?s ?

! 40 collega's helpen je (digitaal) verder
Om jou de nodige ondersteuning te bieden hebben we meer dan 40 getalenteerde development collega?s op onze campus. Deze specialisten richten zich vooral op de technologie‰n PHP, HTML, CSS & Javascript met behulp van diverse frameworks zoals Symfony, Drupal, WordPress, Vue ...

Tijdens je stage als webdeveloper zal je deel uitmaken van een van onze dev-teams. Dit is jouw kans om samen met hen mee te werken op een van onze vele fantastische projecten. 

Benieuwd? Kom dan langs bij Intracto op de stagemarkt. "
Skyline Communications;Ambachtenstraat 33;8870;Izegem;www.skyline.be/jobs;Julie Desmet;;+32 51 31 35 69;"Skyline Communications is the global leader in end-to-end multi-vendor network management and OSS solutions for the broadcast, satellite, cable, telco and mobile industry.
Our flagship DataMiner© network management platform, which has received various prestigious awards, enables end-to-end integration of the most complex technical ecosystems and has been deployed by leading operators around the world.";"Quality Software Developer
Cloud Developer
Full Stack Developer
Cyber Security Engineer
Angular Developer
Software System Developer"
Accenture NV;Picardstraat 11 B100;1000;Brussel;https://www.career-accenture.be/;Florence D'oreye;;3222267084;"Accenture is een toonaangevend wereldwijd bedrijf voor professionele dienstverlening en biedt een brede waaier aan diensten en oplossingen op het gebied van strategy, consulting, digital, technology, security en operations. Accenture combineert onge‰venaarde ervaring en gespecialiseerde vaardigheden in meer dan 40 industrie‰n en alle bedrijfsfuncties - ondersteund door 's werelds grootste bezorgnetwerk - werkende op het snijvlak van bedrijf en technologie om klanten te helpen hun prestaties te verbeteren en duurzame waarde te cre‰ren voor hun stakeholders. Met meer dan 450.000 mensen die klanten bedienen in meer dan 120 landen, stimuleert Accenture innovatie om de manier waarop de wereld werkt en leeft te verbeteren.
";"Bij Accenture bieden wij jou een waaier van stageprojecten aan:

- Security stage: 
Volg jij de opleiding Computer & Cyber Crime Professional of ben jij gepassioneerd door IT security? Ben jij geinteresse‰rd in een stage in een internationale context?
Accenture geeft jouw de mogelijkheid om mee te werken in een team van internationale security experts. In dit team zal je een waaier van activiteiten uitoefen, waaronder Penetration Testing, Practical Reverse engineering & Malware analysis en Security Research.
Doorheen je stage wordt jij begeleid door een coach met meerdere jaren ervaring in security. Hij maakt jou vertrouwd met onze methodologieen en technieken.

- SAP stage: 
Volg jij de opleiding ICT & Blockchain Consultant en ben je geinteresse‰rd in ERP systemen? Analyseer je graag problemen en los je deze graag op?
Accenture biedt jouw de mogelijkheid om mee te volgen in een team van internationale ERP experts. Als business analyst zal je ondermeer business processen analyseren en verbeteren met behulp van aangereikte BPM methodieken.
Ge‹dentificeerde problemen zal je analyseren en er oplossing voor vormen.
Doorheen je stage wordt jij begeleid door een coach met meerdere jaren ervaring in ERP systemen. Hij maakt jou vertrouwd met onze methodologieen en technieken.

-  AI/ML stage: 
Volg jij de opleiding Software Engineer of AI Business Professional? Ben jij geinteresse‰rd in alles wat met AI te maken heeft?
Deze stage geeft jouw de mogelijk om hands-on te experimenteren met Artifical Intelligence technologieen, zoals video analytics en face recognition, maar ook robotics. Dit om innovative concepten en applicaties te ontwikkelen voor een toegewijd Accenture programma.
Tijdens je stage zal je werken in en team van internationale AI experts. Je dagelijkse activiteiten bestaan ondermeer uit het opmaken van een functionele analyse en het ontwerpen van een design, alsook het cre‰ren van een Proof-of-Concept.
oorheen je stage wordt jij begeleid door een coach met meerdere jaren ervaring in AI. Hij maakt jou vertrouwd met onze methodologie‰n en technieken.


"
Adifo;Industrielaan 11B;9990;Maldegem;www.adifo.com;HR - Lisa Van der Meirsch;;50303286;"Tegen 2023 zullen er zo?n 8 miljard mensen op de wereld zijn. Om iedereen van voedsel te voorzien is een duurzame productie van voedingsmiddelen een echte uitdaging. Wil je wel eens weten hoe bedrijven dit aanpakken? Welke technologie‰n er zijn en welke software hiervoor ontwikkeld wordt? En wil je daar ook actief mee bezig zijn? Bekijk dan zeker het boeiende aanbod aan stages bij Adifo!
 Wij zijn wereldwijd actief in software tools voor de voedingsindustrie. Als trotse marktleider sturen wij vanuit ons hoofdkantoor in Maldegem een heel team van internationale medewerkers aan. ";"Adifo is met z?n 600 klanten in meer dan 60 landen een trotse marktleider in de wereld van strategische software tools voor de voedingsindustrie. Ons softwarepakket BESTMIX© garandeert dat voedingsmiddelenproducenten hun producten aan de beste kwaliteit maar ook tegen de laagste kostprijs kunnen ontwikkelen.

Je bent een student toegepaste informatica of graduaat programmeren.

Deze stage biedt je een heleboel kansen en uitdagingen:
-	Je komt terecht in een team van developers 
-	Onze consultants en klanten rekenen op je om een kwalitatieve bijdrage te leveren aan huidige projecten over de hele wereld   
-	Met je hands-on-mentaliteit  krijg je de vrijheid om onafhankelijk te werken
-	Je kan altijd steunen op ervaren collega?s"
Barco;Beneluxpark 21;8500;Kortrijk;jobs.barco.com;Lore Vandevyvere;;056 23 34 64;"Barco is een internationaal technologiebedrijf die visualisatie oplossingen aanbiedt voor diverse markten. Je vindt ons in cinemazalen, op evenement, in bedrijven, scholen & ziekenhuizen. 
Onze oplossingen zijn meer en meer een combinatie van hardware, software & services. 
Ons hoofdkantoor bevindt zich in Kortrijk, maar we zijn wereldwijd actief met een team van 3600 medewerkers.
Wereldwijd vind je ongeveer 400 IT'ers terug in onze organisatie. 

Meer lezen over Barco? Surf naar www.barco.com";"Wij zoeken steeds gemotiveerde IT studenten om 1 van onze development teams te komen vervoegen. Je werkt daarbij op een specifiek (research) project en/of werkt mee in de development van een software oplossing binnen Barco. De projecten worden in de zomer van 2021 gedefinieerd & omschreven op onze jobsite jobs.barco.com onder het luikje ""Students""."
TVH PARTS NV;Brabantstraat 15;8790;Waregem;werkenbijTVH.be;Tamara Naert;;056 43 42 20;"TVH Parts is wereldwijd een gerespecteerde als leverancier van onderdelen in de sector van de heftrucks en hoogwerkers. Om de vele uitdagingen tegemoet te komen kunnen wij rekenen op een IT afdeling van meer dan 200 man die de drijvende kracht is achter onze internationale organisatie.

Om deze doelen te realiseren rekenen we op een volledige agile omgeving met zelfsturende teams waar developers, analysten, testers nauw samenwerken om custom software te ontwikkelen. We weten dat investeren in young potentials van groot belang is onze sterke groei te blijvenverzekeren.

Elk jaar bieden we dan ook stages aan om studenten kennis te laten maken onze state of the art IT-architectuur en de manier waarop software-ontwikkeling op grotere schaal wordt aangepakt. We maken ons sterk dat heel wat van deze stagiairs vandaag tot onze collega's kunnen rekenen.

Als stagiair wordt je nauw opgevolgd en begeleid maar maak je daarnaast ook echt deel uit van de squad zodat je de job echt kan beleven en een realistisch beeld krijgt.

Wil je meer weten over onze stage-opportuniteiten?
Kom dan zeker even langs voor een gesprek!
";software engineer, functioneel analyst en security administrator 
Alpro C.V.A.;Vlamingstraat 28;8560;Wevelgem;https://www.alpro.com/;Pieter Rigole;;+32 477 59 69 02;"Alpro, the European plant-based pioneer of Danone, brings health through food to as many people as possible by producing healthy, tasty plant-based food and drink in a way that respects the planet. One Planet. One Health. 

Our delicious plant-based products are made from soya, almonds, hazelnuts, cashew, rice, oats or coconut. 
We want to invite people to join the movement for a healthier world and thanks to our efforts to combine social and environmental goals with financial success, Alpro is B Corp certified.

Join our vibrant teams and feel the Alpro vibe of positivism and openness, collaboration and passion for quality. 

";For the Alpro-Danone Supply Chain organisation, we have multiple research projects on use of 4.0 technology within our customer service, warehouse, logistics and planning processes (AI, big data, reporting...). We need an intern that can investigate what solutions are avialable on the market and help us prepare a project for implementing these solutions in our current IT landscape.
dotOcean nv;Gistelsesteenweg 294 bus 205;8200;BRUGGE;www.dotocean.eu;Sebastien Deprez;;050/68 30 54;dotOcean is een jong en groeiend technologiebedrijf gespecialiseerd in software technologie voor autonome drones en AI voor de maritieme en defensie industrie. We zijn gevestigd in Brugge en cre‰ren de nieuwste technologie‰n voor onze internationale klanten. dotOcean bouwt mee aan de volgende autonome water drones en producten die bodemstructuren onderzoeken op waterdiepten van meer dan 4000m. Creativiteit en ondernemerschap met een sterke focus op de groeiende maritieme industrie is waar dotOcean voor staat waarbij respect, vertrouwen en een goede communicatie kernwaarden zijn.;Wens je mee te werken aan het ontwikkelen van zwermtechnologie voor het bedienen van landrobots of het aansturen van een autonome boot op zee? Kom dan zeker bij ons langs. We zijn volop ook op zoek naar gedreven stagiairs met interesse in diverse technologie‰n gaande van Machine Learning en AI over DevOps (CI/CD), databases en netwerktechnologie‰n tot IoT en (web/app) programmatie in verschillende softwaretalen.
Starring Jane BV;Dendermondsesteenweg 95A/001;9000;Gent;www.starringjane.com;Melissa Vande Velde;;09/2358282;Starring Jane cre‰ert waarde voor digitale projecten door Strategie, Implementatie en Activatie te combineren. Op die manier zijn we een partner waarbij je terecht kan voor het hele digitale verhaal. Van A tot Z.;"PHP profiel
De stagiair zal meedraaien in het webapplication team en meewerken aan de projecten die op dat moment uitgevoerd worden door dit team. De projecten gaan van Wordpress configuratries tot volledige custom made Laraval applicaties voor onze klanten. De stage zal een gevarieerd aanbod geven van alle programmeer uitdagingen. We zien de stagiair als onderdeel van het team. Dat betekent dat de stagiair volledig meedraait, natuurlijk met de benodigde ondersteuning van onze senior developers.
"
Ocular BV;Hille-Zuid 1B;8750;Zwevezele;www.ocular.be;Sofie Mattheeuws;;51588444;"Belevingen. Ervaringen. Ze zijn meer waard dan eender welk bezit. Ze blijven ons bij. Veel langer dan het meest doordachte verkoopgesprek. Veel langer dan de meest uitgekiende presentatie. Ocular bedenkt en realiseert zulke ervaringen. Hoe? Door geweldige idee‰n en prachtige verhalen te combineren met de strafste interactietechnologie en de beste contextbewuste software. Zo maken we producten, diensten en verhalen uniek, spannend en meeslepend. Zo veranderen we musea, bezoekerscentra, commerci‰le ruimtes, beursstanden of training center in belevingen en ervaringen. Zo informeren we op een manier die verder gaat dan wat traditionele kanalen bieden ‚n kunnen bieden. Zo leggen we verbindingen die mensen nooit vergeten. Zo cre‰ren we impact.
";"We zijn op zoek naar een dynamische student(e) met kennis van front-end en/of back-end die van een uitdagende en gevarieerde opdrachten houdt. Je bent in staat om creatieve concepten om te zetten in mooie en unieke code/interfaces. Je experimenteert graag met de nieuwste technologie‰n en devices. In Ocular werk je mee aan de diverse aspecten van de verschillende applicaties. Geen nepopdrachten maar bij ons krijg je de kans om te werken aan de echte projecten. En die zijn heel uitlopend: van een kindergame voor een museum tot de ontwikkeling van een interactieve carwash. Net dat maakt deze stage zo boeiend en uitdagend. Krijg je nu al zin om erin te vliegen, laat ons dan zeker iets weten.
"
Cevi NV;Bisdomplein 3;9000;Gent;www.cevi.be;Nathalie Heymans;;09/264.07.00;Cevi/Logins is een grote speler op de Vlaamse IT-markt, gespecialiseerd in het bouwen van moderne en betrouwbare informaticasystemen, vooral voor overheidsinstellingen (provinciebesturen, gemeenten, OCMW?s, zorgbedrijven, hulpverleningszones ?) maar ook voor andere bedrijven. Cevi/Logins blijft op de eerste plaats een softwarehuis ten dienste van de lokale besturen en dit vooral voor de automatisering van hun processen en diensten.;"Junior .NET Ontwikkelaar
Taakinhoud
Je ontwikkelt toepassingen gebaseerd op onze in-house technology-stack:
.Net (framework/standard/core), MS SQL-server, Angular, bootstrap.

Een overzicht van je belangrijkste taken en verantwoordelijkheden:

Je bouwt toepassingen voor onze klanten en voor intern gebruik
Het betreft nieuwe ontwikkelingen en/of modernisering van bestaande toepassingen
Je onderhoudt deze toepassingen gedurende hun levensduur
Je maakt hierbij gebruik van een ruime bibliotheek aan bestaande componenten uit het Cevi/Logins-arsenaal en kunt rekenen op de ondersteuning van collega?s en architecten
Je maakt technische analyses van de functionele opdrachten die je krijgt
Je documenteert de door jou ontwikkelde software
Je neemt deel aan het testen van je eigen code en die van je collega?s
Je biedt 3de-lijnsondersteuning aan klanten en productbeheerders voor de door jou ontwikkelde software
Je ondersteunt de verkoopploeg bij het opstellen van functionele specificaties

Jouw profiel

Je bent assertief en communicatief, een teamspeler
Je beschikt over een sterk analytisch denkvermogen
Je bent meertalig (Nederlands, Engels en Frans)
Je werkt klantgericht zonder de commerci‰le doelstellingen uit het oog te verliezen
Je hebt affiniteit naar.NET back-end ontwikkeling
Je hebt interesse om je te verdiepen in frameworks zoals Angular
Je kent het belang van sterk database-design.
Je hebt kennis van SQL server.
Je hecht veel belang aan het gebruik van best practices, waarbij je security by design als een evidentie beschouwd.
"
Sentia Belgium NV;Denen 157;9080;Lochristi;www.sentia.com;Pieter Van Huffel;;92742900;We are Sentia. We believe the digital world is at the core of any business, so we take extreme ownership of managing continuity, performance and innovation, in all aspects of our customers application landscape & IT.;"Continuity Engineer Linux
Continuity Engineer Windows"
Duotecno Bvba;Ten Breile 18.1;8200;Sint-Michiels;www.duotecno.be;Mario Scheldeman;;32496282627;"Duotecno produceert al meer dan 18 jaar kwaliteitsvolle, innovatieve domotica-oplossingen. Je bedient vanop afstand de verlichting, elektrische toestellen, rolluiken, audio, video en alarm in je woning of gebouw.
Bovendien zorgen wij voor een uniforme look in elk project. Elk designproduct kan volledig in de muur|plafond ge‹ntegreerd worden met dank aan de gepatenteerde inbouwarmaturen van ons zusterbedrijf Xillo Trimless Solutions. Dit gaat zowel om onze schakelaars, afdekramen, audio speakers, verlichting, touchscreens, bewegingsdetectoren, alarm?
We kunnen onze producten in de muur integreren, zodat ze naadloos in de muur zijn weggewerkt, maar we kunnen ze ook volledig integreren in de afwerking van de muur. De armatuur (draagconstructie van het product) wordt eenvoudig weggewerkt in het gestucte muur|plafond, wat zorgt voor een aanzienlijke kwalitatieve meerwaarde, zowel esthetisch als functioneel.
Wij zijn een gedreven bedrijf die continu mee-evolueert met de innoverende markt met hoe we onze geavanceerde domotica-oplossingen n¢g beter kunnen maken.
";personen die gebeten zijn door automatisering, en waar de sky not the limit is. Wij zijn al jaren een gevestigde waarde op de domotica markt. Sinds kort hebben we in ons een gamma een gateway waar er nog volop wordt op ontwikkeld (Homekit, smappee , open hab , http post/get, ...). Zie je jezelf testopstellingen maken met iot devices , Open hab ,mogelijkheden uitzoeken, of code schrijven voor ...........   
